_index_artworks,m&c,century
0,0, 15
1,0, 16
2,0, 16
3,1, 16
4,0, 16
5,0, 16
6,0, 16
7,0, 16
8,0, 16
9,0, 16
10,1,15
11,0,16
12,0,16
13,0,16
14,0,16
15,0,16
16,1,15
17,0,15
18,0,15
19,0,15
20,0,15
21,0,15
22,0,15
23,0,15
24,0,15
25,0,15
26,0,15
27,0,15
28,0,15
29,0,15
30,0,15
31,0,15
32,0,15
33,0,15
34,0,15
35,0,15
36,0,15
37,0,15
38,0,15
39,0,15
40,0,15
41,0,15
42,0,15
43,0,15
44,0,15
45,0,15
46,1,15
47,1,15
48,0,15
49,0,15
50,0,15
51,0,15
52,1,15
53,1,15
54,0,16
55,0,16
56,1,16
57,1,16
58,1,15
59,1,15
60,0,15
61,0,16
62,0,16
63,1,20
64,0,16
65,0,19
66,0,18
67,0,18
68,0,18
69,0,18
70,0,18
71,0,19
72,0,19
73,0,19
74,0,18
75,0,18
76,0,19
77,0,19
78,0,18
79,0,19
80,0,19
81,0,19
82,0,19
83,0,19
84,0,19
85,0,19
86,0,19
87,0,19
88,0,19
89,0,19
90,0,19
91,0,18
92,0,18
93,0,19
94,0,19
95,0,19
96,0,19
97,0,18
98,0,18
