_index_artworks,m&c,more_than_2_people,more_than_3_people,saints_with_halos,death_theme,century
0,0,0,0,0,0,16
1,1,1,1,1,0,16
2,0,1,1,0,0,16
3,0,1,1,0,0,16
4,0,1,1,1,0,16
5,0,1,1,1,1,16
6,1,1,0,1,0,15
7,0,1,1,1,0,16
8,0,0,0,0,0,16
9,0,0,0,1,0,16
10,1,0,0,1,0,15
11,0,0,0,1,0,15
12,0,1,0,1,1,15
13,0,1,1,1,1,15
14,0,1,1,1,1,15
15,0,1,1,1,0,15
16,0,1,1,1,1,15
17,0,0,0,1,0,15
18,0,1,1,1,0,15
19,0,1,1,1,0,15
20,0,1,1,1,0,15
21,0,1,1,1,1,15
22,0,1,1,1,0,15
23,0,1,1,1,1,15
24,0,1,1,1,0,15
25,0,1,1,1,0,15
26,0,0,0,1,0,15
27,0,1,1,1,0,15
28,0,0,0,1,0,15
29,0,0,0,1,0,15
30,0,1,1,1,1,15
31,1,1,1,1,0,15
32,0,0,0,1,1,15
33,0,0,0,0,0,15
34,1,1,1,1,0,15
35,0,0,0,0,0,16
36,0,0,0,0,1,16
37,1,1,1,0,0,16
38,1,0,0,0,0,16
39,1,1,0,1,0,15
40,0,0,0,0,0,15
41,0,0,0,0,0,16
42,1,1,0,0,0,20
43,0,0,0,0,0,16
44,0,0,0,0,0,19
45,0,1,1,0,0,18
46,0,0,0,0,0,18
47,0,0,0,0,1,18
48,0,1,1,0,0,19
49,0,1,1,0,0,19
50,0,0,0,0,0,18
51,0,0,0,0,0,18
52,0,1,0,1,0,19
53,0,1,1,0,1,18
54,0,0,0,0,0,19
55,0,0,0,0,0,19
56,0,1,1,0,0,19
57,0,1,1,0,1,18
58,0,1,1,0,1,18
59,0,0,0,0,0,19
60,0,1,1,0,0,19
61,0,0,0,0,0,19
62,0,0,0,0,0,18
63,0,1,1,0,1,18
64,0,1,1,1,1,15
