_index_reports,_index_players,Assists,Blocks,Minutes played,Points,Total rebounds,Steals
0,469,,,,21.0,15.0,
0,458,4.0,,,17.0,13.0,2.0
0,444,7.0,,,17.0,,2.0
1,175,,,,16.0,12.0,
1,185,,,,16.0,14.0,
1,446,5.0,,,17.0,,
1,45,,,,15.0,,
1,481,,,37.0,15.0,7.0,
1,236,,,,12.0,7.0,
1,301,4.0,,,17.0,3.0,
1,466,,,,10.0,,
2,49,6.0,,,18.0,5.0,
2,273,,,,22.0,,
2,336,11.0,,,24.0,,
2,414,,,,20.0,5.0,
2,452,,,26.0,6.0,,
2,132,4.0,,,23.0,5.0,
2,340,2.0,,,15.0,,
3,180,4.0,,,21.0,16.0,
3,404,,,,14.0,8.0,
3,368,,,,16.0,3.0,2.0
3,142,8.0,,,35.0,,
3,244,4.0,,,25.0,6.0,
3,306,,,28.0,17.0,2.0,
3,488,,,,13.0,,
3,390,,,,12.0,,
4,189,,,,15.0,,
4,108,2.0,,,20.0,8.0,
4,404,,,,15.0,,
4,59,8.0,,,22.0,2.0,2.0
4,212,3.0,,,13.0,5.0,
4,254,,2.0,,10.0,6.0,1.0
4,215,2.0,1.0,,26.0,7.0,1.0
4,180,3.0,1.0,,10.0,7.0,1.0
5,316,4.0,,,22.0,4.0,
5,419,,,,13.0,13.0,
5,145,,,,20.0,,
5,212,1.0,,,18.0,,
5,540,,,,17.0,,1.0
6,316,,,46.0,,,
6,419,,,,,1.0,
6,481,,,,,,2.0
6,145,,,43.0,,,
6,550,,,,,,
6,177,,,,,1.0,
7,175,,,,17.0,7.0,
7,212,,,,15.0,,
7,163,,,,18.0,,
7,503,,,,11.0,,
7,62,7.0,1.0,,23.0,9.0,1.0
7,272,,,,15.0,,
7,335,7.0,,,28.0,,
7,59,,,,18.0,7.0,
8,447,,,46.0,45.0,6.0,
8,443,,,,15.0,,
8,273,,,,17.0,9.0,
8,56,11.0,,,18.0,,
8,97,,,,13.0,,
8,392,,,,15.0,,
8,301,,,,19.0,,
8,523,,,,37.0,19.0,
8,501,,,,19.0,,
8,187,,,,24.0,,
8,391,15.0,,,23.0,,
8,343,,,,12.0,,
9,62,10.0,,,26.0,8.0,
9,266,,,,21.0,7.0,
9,146,11.0,,,29.0,,
9,58,,,,31.0,,3.0
9,547,,,,21.0,,
10,447,4.0,1.0,,26.0,12.0,
10,472,1.0,1.0,,8.0,9.0,2.0
10,73,2.0,2.0,,16.0,8.0,
10,426,6.0,,,9.0,3.0,1.0
10,271,,,,14.0,2.0,1.0
10,360,2.0,,22.0,12.0,3.0,3.0
10,242,2.0,,22.0,4.0,2.0,1.0
10,390,5.0,,,15.0,1.0,1.0
11,175,,,,30.0,,
11,212,,,,27.0,,
11,44,,,,7.0,,
11,416,,,,8.0,,
11,314,,,,2.0,,
11,180,,,,11.0,,1.0
11,462,,,,13.0,,
11,299,,,,11.0,,
11,310,,,,18.0,,
12,514,1.0,,,6.0,3.0,2.0
12,345,4.0,,,26.0,4.0,2.0
12,338,4.0,,,18.0,,1.0
12,448,1.0,1.0,,25.0,13.0,
12,49,3.0,2.0,,32.0,9.0,2.0
12,273,,,,14.0,,
12,336,6.0,,,16.0,1.0,1.0
13,359,,,,21.0,16.0,
13,527,,,,24.0,,
13,440,10.0,,,2.0,7.0,
13,345,,,,10.0,,
13,3,,,,26.0,9.0,
13,7,9.0,,31.0,9.0,7.0,
13,288,,,30.0,22.0,,
13,412,,,,14.0,,
14,359,,,,16.0,10.0,1.0
14,138,13.0,,,22.0,5.0,
14,271,2.0,,,17.0,1.0,
14,242,2.0,,,22.0,,
15,337,,,45.0,17.0,7.0,2.0
15,440,6.0,,,14.0,,
15,348,,3.0,,12.0,12.0,
15,55,,,36.0,20.0,3.0,
15,283,,,,,7.0,
15,419,,,18.0,19.0,3.0,
15,375,,,,18.0,6.0,2.0
15,314,12.0,,,18.0,,2.0
15,102,,,,12.0,8.0,
15,550,,,,,,
16,271,,,,31.0,,
16,119,,,,25.0,,
17,199,,,,27.0,6.0,
17,101,,,,32.0,,
17,19,,,,24.0,,1.0
17,381,,1.0,,,,
18,299,,,,14.0,8.0,
18,244,1.0,,,30.0,3.0,4.0
18,310,3.0,,,22.0,2.0,
18,217,,,24.0,,,
18,488,2.0,,,12.0,2.0,1.0
18,500,,,20.0,,,
18,445,3.0,1.0,,18.0,4.0,1.0
18,233,,,,16.0,,
18,526,4.0,,,21.0,11.0,1.0
18,81,7.0,2.0,,19.0,11.0,
18,327,,,,12.0,,
19,240,20.0,,30.0,20.0,5.0,3.0
19,547,,,,22.0,,1.0
19,351,,,,17.0,,
20,469,,,,,12.0,
20,154,,,,14.0,,
20,88,,,,12.0,,
20,293,,,,11.0,,
20,213,,,,13.0,,
20,345,,,,11.0,,
20,457,,,,13.0,,
20,444,,,,11.0,,
20,320,,,23.0,16.0,,
21,534,,,,14.0,,
21,185,,,,13.0,10.0,1.0
21,199,,,,11.0,,
21,7,,,,10.0,2.0,
21,555,,,,16.0,4.0,
21,75,4.0,,,16.0,,
21,227,3.0,2.0,,19.0,7.0,
21,421,3.0,,38.0,14.0,7.0,2.0
21,49,,,,15.0,10.0,
21,336,6.0,,,21.0,,
21,327,,,,14.0,,
21,491,,,17.0,13.0,,
22,393,,,,22.0,,
22,153,11.0,,,34.0,,
22,553,,,,21.0,,
22,534,,,15.0,7.0,,
23,156,,,,15.0,7.0,
23,166,2.0,,,34.0,2.0,
23,331,12.0,,,8.0,,
23,24,,,,14.0,,
23,289,,,,16.0,11.0,
23,496,6.0,,,12.0,,
23,402,,,37.0,19.0,,
23,118,,,,22.0,12.0,
23,514,,,,20.0,7.0,
24,265,,,,,,1.0
24,503,5.0,,34.0,14.0,8.0,
24,44,,4.0,,,,
24,548,,,,18.0,,
24,418,4.0,3.0,42.0,20.0,12.0,1.0
24,538,6.0,,37.0,12.0,,1.0
25,418,,,,26.0,3.0,
25,274,6.0,,11.0,,,
25,58,,,30.0,30.0,,
25,240,16.0,,30.0,18.0,,
26,556,5.0,,,5.0,6.0,
26,138,8.0,,,28.0,7.0,1.0
26,527,1.0,,22.0,22.0,5.0,
26,252,3.0,,,12.0,4.0,
26,283,1.0,,,12.0,6.0,2.0
26,440,5.0,,23.0,10.0,3.0,2.0
26,213,7.0,1.0,,21.0,5.0,3.0
26,457,3.0,1.0,,17.0,3.0,1.0
26,460,1.0,,34.0,19.0,8.0,1.0
26,518,1.0,,,15.0,3.0,
27,250,2.0,,38.0,18.0,6.0,2.0
27,430,,5.0,38.0,13.0,18.0,
27,494,8.0,,29.0,12.0,5.0,2.0
27,448,,,35.0,25.0,8.0,
27,336,4.0,,,12.0,,
27,327,5.0,,30.0,11.0,6.0,
27,303,,,,16.0,5.0,
28,333,7.0,,,10.0,11.0,
28,137,2.0,,34.0,25.0,2.0,
28,381,6.0,,34.0,16.0,2.0,
28,359,,2.0,,16.0,13.0,
28,556,,,,18.0,,
28,527,5.0,,24.0,16.0,,
29,447,,,,30.0,4.0,
29,415,,,,21.0,,
29,335,12.0,,,38.0,14.0,
30,11,,,,4.0,,
30,459,2.0,2.0,,27.0,10.0,
30,294,,,,15.0,,
30,440,5.0,,31.0,11.0,4.0,
30,205,,,,,11.0,
30,467,,,33.0,,,
30,504,,,33.0,17.0,13.0,
30,430,,2.0,,,,
31,250,9.0,1.0,,36.0,5.0,2.0
31,430,,2.0,,14.0,14.0,1.0
31,463,2.0,,,25.0,3.0,1.0
31,387,1.0,1.0,,12.0,8.0,1.0
31,385,1.0,,,19.0,7.0,1.0
31,308,1.0,1.0,,14.0,6.0,
31,48,4.0,,,10.0,9.0,1.0
31,398,8.0,,,52.0,9.0,2.0
31,367,,1.0,,17.0,7.0,
32,316,2.0,2.0,,25.0,9.0,1.0
32,419,,,,10.0,18.0,
32,481,,,,14.0,1.0,1.0
32,145,2.0,,26.0,13.0,3.0,1.0
32,314,,,31.0,10.0,,
32,406,7.0,2.0,39.0,22.0,15.0,
32,266,1.0,1.0,,18.0,6.0,
32,146,,,,19.0,,
32,511,,,,16.0,,
33,265,6.0,,,10.0,3.0,
33,201,,,,16.0,,
33,99,4.0,,20.0,9.0,,
33,227,,,,18.0,,
33,448,4.0,,27.0,17.0,14.0,
33,211,,,,13.0,,
34,35,,,,21.0,,
34,89,,,,5.0,,
34,456,,,,11.0,,
34,33,,,,23.0,,
34,553,,,,17.0,,
34,199,,,37.0,26.0,,
34,490,,,,10.0,,
34,315,,,,14.0,,
35,317,5.0,,,19.0,,
35,512,,,13.0,2.0,,
35,501,,,,,10.0,
35,153,10.0,,,25.0,9.0,
35,160,1.0,,,15.0,,
35,233,,,,14.0,5.0,
35,526,,,,21.0,8.0,
35,81,,,,19.0,,
35,193,,,16.0,,,
35,327,,,29.0,12.0,5.0,
35,498,4.0,,27.0,5.0,,
36,11,,,,,,
36,459,,,,36.0,13.0,
36,200,6.0,,,21.0,,
37,514,,,,10.0,4.0,
37,47,,,29.0,10.0,3.0,
37,10,,,,16.0,,
37,554,,2.0,,15.0,3.0,
37,414,2.0,,37.0,24.0,3.0,
37,132,9.0,,,18.0,2.0,
37,198,,,22.0,14.0,4.0,
37,358,,,19.0,17.0,,
38,467,,2.0,,20.0,12.0,3.0
38,126,,,,17.0,,
38,312,,,,15.0,,
38,530,,,,8.0,,
39,49,8.0,1.0,42.0,31.0,4.0,2.0
39,336,2.0,,,18.0,1.0,3.0
39,437,,,44.0,16.0,12.0,
39,335,12.0,,,38.0,13.0,
39,127,,,19.0,15.0,,
39,487,,,29.0,16.0,,
40,11,,,,,,
40,244,,,,23.0,,
41,12,,1.0,,23.0,11.0,2.0
41,110,1.0,2.0,,11.0,11.0,2.0
41,364,,,,28.0,2.0,3.0
41,259,12.0,,,10.0,,2.0
41,453,1.0,,,11.0,6.0,1.0
41,389,2.0,1.0,,5.0,16.0,2.0
41,3,,1.0,,19.0,6.0,
41,197,5.0,,,13.0,3.0,
41,1,,,,12.0,,
41,395,3.0,1.0,28.0,11.0,4.0,2.0
41,226,1.0,1.0,,16.0,8.0,2.0
