game_id,_index_team,Losses,Total points,Points in 4th quarter,Wins
0,22,12.0,95.0,,46.0
0,9,41.0,88.0,21.0,19.0
1,27,31.0,82.0,,5.0
1,4,17.0,95.0,,18.0
2,18,2.0,91.0,20.0,3.0
2,2,,102.0,26.0,
3,25,15.0,114.0,25.0,29.0
3,20,28.0,110.0,31.0,17.0
4,4,35.0,91.0,,24.0
4,20,29.0,102.0,22.0,30.0
5,4,8.0,118.0,,8.0
5,19,3.0,101.0,,13.0
6,28,4.0,93.0,,0.0
6,19,,101.0,,
7,21,13.0,114.0,,8.0
7,4,12.0,101.0,,11.0
9,6,,,,
9,8,7.0,,,
10,14,53.0,87.0,,14.0
10,27,40.0,90.0,,28.0
11,25,,,,
11,4,,,,
12,2,,105.0,,
12,17,1.0,101.0,,0.0
13,16,42.0,117.0,42.0,37.0
13,24,34.0,80.0,18.0,45.0
14,14,58.0,88.0,,15.0
14,24,37.0,101.0,,36.0
15,19,29.0,113.0,,53.0
15,24,36.0,108.0,,46.0
16,11,17.0,107.0,,11.0
16,14,23.0,111.0,,5.0
17,23,29.0,104.0,,22.0
17,26,30.0,108.0,,20.0
18,0,,107.0,,
18,25,1.0,102.0,,2.0
19,6,,133.0,,
20,12,,,,
20,9,,69.0,,
21,2,7.0,110.0,,8.0
21,26,6.0,96.0,,9.0
22,5,,123.0,,
23,17,28.0,101.0,,5.0
23,11,20.0,110.0,,15.0
24,3,30.0,85.0,,37.0
24,4,33.0,84.0,,34.0
25,6,5.0,120.0,,14.0
25,3,10.0,100.0,,8.0
26,12,18.0,104.0,,22.0
26,24,19.0,118.0,,19.0
27,2,24.0,94.0,,37.0
27,13,33.0,88.0,,28.0
28,24,21.0,98.0,,19.0
28,23,25.0,108.0,,19.0
29,21,25.0,116.0,,32.0
29,27,34.0,105.0,,23.0
30,13,33.0,102.0,,18.0
30,7,32.0,90.0,,17.0
31,29,22.0,124.0,22.0,19.0
31,13,23.0,119.0,31.0,18.0
32,8,1.0,89.0,,28.0
32,19,8.0,83.0,,19.0
33,2,12.0,101.0,,31.0
33,10,36.0,83.0,,8.0
34,26,,87.0,,
34,1,,,,
35,0,1.0,91.0,14.0,3.0
35,5,,108.0,25.0,
36,7,9.0,116.0,,6.0
36,21,8.0,101.0,,8.0
37,18,32.0,106.0,,34.0
37,17,49.0,97.0,,14.0
38,10,2.0,71.0,18.0,0.0
38,13,1.0,99.0,,1.0
40,25,2.0,91.0,,4.0
40,7,,96.0,,
41,16,56.0,126.0,,15.0
41,18,50.0,98.0,,22.0
42,18,,,,
43,6,4.0,89.0,,5.0
43,15,3.0,105.0,,8.0
44,16,46.0,103.0,,9.0
44,2,23.0,112.0,,34.0
45,5,18.0,109.0,,40.0
45,0,32.0,117.0,,25.0
46,20,,,,
47,3,22.0,85.0,,24.0
47,11,27.0,93.0,,19.0
48,14,,,,
48,8,,,,
49,5,17.0,133.0,,40.0
49,18,38.0,102.0,,17.0
50,23,26.0,121.0,20.0,20.0
50,14,37.0,103.0,,9.0
51,22,5.0,99.0,,6.0
51,20,10.0,89.0,,3.0
52,27,7.0,107.0,,7.0
52,23,8.0,103.0,22.0,8.0
53,15,,,,
53,27,,,,
54,4,,97.0,,
54,27,,122.0,,
55,9,19.0,103.0,,20.0
55,25,15.0,106.0,,25.0
56,15,,,,
56,28,,,,
57,5,14.0,99.0,18.0,32.0
57,26,17.0,94.0,,30.0
58,11,,,,
59,0,29.0,106.0,,39.0
59,29,29.0,109.0,,39.0
60,28,41.0,106.0,,32.0
60,6,25.0,119.0,,49.0
61,3,41.0,128.0,,28.0
61,5,22.0,112.0,,47.0
62,9,38.0,97.0,,16.0
62,15,20.0,98.0,,32.0
63,29,,,,
63,15,,,,
64,22,32.0,103.0,,46.0
64,18,,90.0,,
65,17,,,37.0,
66,5,,94.0,18.0,
66,8,1.0,121.0,,3.0
67,19,1.0,101.0,,6.0
67,12,4.0,97.0,,3.0
69,7,4.0,94.0,,6.0
69,1,4.0,91.0,,5.0
70,1,,,,
71,3,21.0,111.0,,12.0
71,26,22.0,104.0,,9.0
72,6,13.0,90.0,,25.0
72,0,21.0,104.0,,16.0
73,6,14.0,98.0,,26.0
73,0,28.0,86.0,,11.0
74,24,5.0,119.0,,13.0
74,11,10.0,89.0,20.0,9.0
75,7,45.0,120.0,,30.0
75,24,39.0,111.0,,36.0
76,1,11.0,,,
77,4,7.0,121.0,,5.0
77,8,2.0,124.0,,11.0
78,6,27.0,114.0,,46.0
78,28,31.0,90.0,,43.0
79,21,10.0,122.0,,21.0
79,11,19.0,112.0,,12.0
80,17,52.0,106.0,,14.0
80,16,38.0,122.0,,27.0
81,29,,,21.0,
83,2,16.0,88.0,,24.0
83,13,16.0,79.0,,23.0
84,0,16.0,101.0,,14.0
84,19,11.0,91.0,,17.0
85,7,39.0,100.0,,25.0
85,9,36.0,107.0,,28.0
86,19,17.0,120.0,,44.0
86,28,26.0,103.0,,38.0
87,20,9.0,86.0,,3.0
87,18,5.0,88.0,,7.0
88,23,25.0,109.0,,48.0
88,18,37.0,86.0,,38.0
89,24,3.0,102.0,,7.0
89,26,3.0,105.0,,9.0
90,28,,104.0,,
90,22,2.0,95.0,,2.0
91,8,6.0,119.0,25.0,56.0
91,9,35.0,113.0,36.0,27.0
92,16,,100.0,,
92,20,,105.0,,
93,7,8.0,85.0,,9.0
93,2,2.0,97.0,,15.0
94,11,49.0,92.0,,28.0
94,6,26.0,107.0,,51.0
95,27,,,,
95,11,,,,
96,11,27.0,121.0,,22.0
96,4,28.0,117.0,,21.0
97,5,7.0,109.0,,17.0
97,26,18.0,87.0,18.0,5.0
98,10,,93.0,,
98,17,24.0,91.0,,11.0
99,16,56.0,104.0,,13.0
99,26,39.0,111.0,,30.0
